Name,Date,Close
Quant Active Fund Gr,13-02-2020,190.1336
Quant Active Fund Gr,12-02-2020,190.3507
Quant Active Fund Gr,11-02-2020,188.9312
Quant Active Fund Gr,10-02-2020,187.6062
Quant Active Fund Gr,07-02-2020,189.1849
Quant Active Fund Gr,06-02-2020,187.811
Quant Active Fund Gr,05-02-2020,186.4887
Quant Active Fund Gr,04-02-2020,184.7199
Quant Active Fund Gr,03-02-2020,181.1929
Quant Active Fund Gr,31-01-2020,188.1163
Quant Active Fund Gr,30-01-2020,189.4044
Quant Active Fund Gr,29-01-2020,192.0917
Quant Active Fund Gr,28-01-2020,191.5764
Quant Active Fund Gr,27-01-2020,192.9998
Quant Active Fund Gr,24-01-2020,193.5683
Quant Active Fund Gr,23-01-2020,191.4278
Quant Active Fund Gr,22-01-2020,189.1987
Quant Active Fund Gr,21-01-2020,188.6959
Quant Active Fund Gr,20-01-2020,189.1692
Quant Active Fund Gr,17-01-2020,189.9419
Quant Active Fund Gr,16-01-2020,189.8235
Quant Active Fund Gr,15-01-2020,189.7457
Quant Active Fund Gr,14-01-2020,189.8458
Quant Active Fund Gr,13-01-2020,189.59
Quant Active Fund Gr,10-01-2020,187.9649
Quant Active Fund Gr,09-01-2020,186.9347
Quant Active Fund Gr,08-01-2020,184.0902
Quant Active Fund Gr,07-01-2020,184.5715
Quant Active Fund Gr,06-01-2020,183.0497
Quant Active Fund Gr,03-01-2020,187.2149
Quant Active Fund Gr,02-01-2020,187.5911
Quant Active Fund Gr,01-01-2020,185.5863
Quant Active Fund Gr,31-12-2019,185.8283
Quant Active Fund Gr,30-12-2019,186.2726
Quant Active Fund Gr,27-12-2019,186.6462
Quant Active Fund Gr,26-12-2019,184.9426
Quant Active Fund Gr,24-12-2019,185.2459
Quant Active Fund Gr,23-12-2019,185.9066
Quant Active Fund Gr,20-12-2019,186.2408
Quant Active Fund Gr,19-12-2019,185.7646
Quant Active Fund Gr,18-12-2019,185.0249
Quant Active Fund Gr,17-12-2019,184.7017
Quant Active Fund Gr,16-12-2019,184.3736
Quant Active Fund Gr,13-12-2019,185.9364
Quant Active Fund Gr,12-12-2019,184.4227
Quant Active Fund Gr,11-12-2019,183.252
Quant Active Fund Gr,10-12-2019,183.1635
Quant Active Fund Gr,09-12-2019,186.0208
Quant Active Fund Gr,06-12-2019,187.1854
Quant Active Fund Gr,05-12-2019,189.0768
Quant Active Fund Gr,04-12-2019,190.1613
Quant Active Fund Gr,03-12-2019,190.828
Quant Active Fund Gr,02-12-2019,191.3068
Quant Active Fund Gr,29-11-2019,191.7823
Quant Active Fund Gr,28-11-2019,192.7814
Quant Active Fund Gr,27-11-2019,191.7907
Quant Active Fund Gr,26-11-2019,190.9963
Quant Active Fund Gr,25-11-2019,192.6503
Quant Active Fund Gr,22-11-2019,191.8648
Quant Active Fund Gr,21-11-2019,193.5376
Quant Active Fund Gr,20-11-2019,192.5762
Quant Active Fund Gr,19-11-2019,191.738
Quant Active Fund Gr,18-11-2019,190.992
Quant Active Fund Gr,15-11-2019,192.0974
Quant Active Fund Gr,14-11-2019,192.8314
Quant Active Fund Gr,13-11-2019,193.261
Quant Active Fund Gr,11-11-2019,191.9059
Quant Active Fund Gr,08-11-2019,190.3884
Quant Active Fund Gr,07-11-2019,191.6573
Quant Active Fund Gr,06-11-2019,192.4167
Quant Active Fund Gr,05-11-2019,190.793
Quant Active Fund Gr,04-11-2019,192.9435
Quant Active Fund Gr,01-11-2019,193.2364
Quant Active Fund Gr,31-10-2019,194.8943
Quant Active Fund Gr,30-10-2019,194.8894
Quant Active Fund Gr,29-10-2019,191.6044
Quant Active Fund Gr,25-10-2019,187.9724
