Date,Close,Nifty50
05-03-2018,179.894,10679.65
05-02-2018,181.2442,10718.05
04-30-2018,182.1829,10739.35
04-27-2018,181.2971,10692.3
04-26-2018,180.068,10617.8
04-25-2018,180.1152,10570.55
04-24-2018,180.7414,10614.35
04-23-2018,180.1966,10584.7
04-20-2018,179.6796,10564.05
04-19-2018,180.5917,10565.3
04-18-2018,179.7565,10526.2
04-17-2018,179.8302,10548.7
04-16-2018,180.3265,10528.35
04-13-2018,179.2801,10480.6
04-12-2018,178.9774,10458.65
04-11-2018,179.1906,10417.15
04-10-2018,179.2844,10402.25
04-09-2018,178.9702,10379.35
04-06-2018,179.0239,10331.6
04-05-2018,178.1734,10325.15
04-04-2018,176.345,10128.4
04-03-2018,177.6358,10245
04-02-2018,176.9085,10211.8
03-31-2018,174.3756,10113.7
03-28-2018,174.3945,10184.15
03-27-2018,174.6666,10130.65
03-26-2018,173.3085,9998.05
03-23-2018,171.653,10114.75
03-22-2018,172.7778,10155.25
03-21-2018,173.4073,10124.35
03-20-2018,173.5527,10094.25
03-19-2018,173.2191,10195.15
03-16-2018,174.5278,10360.15
03-15-2018,175.9457,10410.9
03-14-2018,176.261,10426.85
03-13-2018,175.9849,10421.4
03-12-2018,175.5116,10226.85
03-09-2018,174.6523,10242.65
03-08-2018,174.5187,10154.2
03-07-2018,173.8744,10249.25
03-06-2018,175.995,10358.85
03-05-2018,176.9692,10458.35
03-01-2018,179.1004,10492.85
02-28-2018,179.2919,10554.3
02-27-2018,179.68,10582.6
02-26-2018,179.7946,10491.05
02-23-2018,177.651,10382.7
02-22-2018,175.9972,10397.45
02-21-2018,175.8462,10360.4
02-20-2018,176.0561,10378.4
02-19-2018,175.5336,10452.3
02-16-2018,177.038,10545.5
02-15-2018,178.4849,10500.9
02-14-2018,180.0168,10539.75
02-12-2018,179.5076,10454.95
02-09-2018,177.7147,10576.85
02-08-2018,178.161,10476.7
02-07-2018,174.6668,10498.25
02-06-2018,173.8882,10666.55
02-05-2018,175.6367,10760.6
02-02-2018,176.9984,11016.9
02-01-2018,182.2313,11027.7
01-31-2018,180.4911,11049.65
01-30-2018,180.9732,11130.4
01-29-2018,181.5811,11069.65
01-25-2018,181.5528,11086
01-24-2018,182.6545,11083.7
01-23-2018,183.7659,10966.2
01-22-2018,183.3568,10894.7
01-19-2018,182.684,10817
01-18-2018,181.8901,10788.55
01-17-2018,183.6975,10700.45
01-16-2018,182.4843,10741.55
01-15-2018,184.9738,10681.25
01-12-2018,184.3125,10651.2
01-11-2018,184.2761,10632.2
01-10-2018,184.0091,10637
01-09-2018,184.661,10623.6
01-08-2018,184.4729,10558.85
01-05-2018,183.8948,10504.8
01-04-2018,182.1646,10443.2
01-03-2018,180.8881,10442.2
01-02-2018,179.6707,10435.55
01-01-2018,180.635,10530.7
12-29-2017,181.0426,10477.9
12-28-2017,180.6487,10490.75
12-27-2017,180.6071,10531.5
12-26-2017,181.4235,10493
12-22-2017,181.4499,10440.3
12-21-2017,181.1874,10444.2
12-20-2017,180.0576,10463.2
12-19-2017,179.9231,10388.75
12-18-2017,178.2445,10333.25
12-15-2017,176.9194,10252.1
12-14-2017,174.5771,10192.95
12-13-2017,174.0337,10240.15
12-12-2017,174.6591,10322.25
12-11-2017,176.1325,10265.65
12-08-2017,175.48,10166.7
12-07-2017,173.9023,10044.1
12-06-2017,171.9396,10118.25
12-05-2017,173.3257,10127.75
12-04-2017,173.4014,10121.8
12-01-2017,173.4906,10226.55
11-30-2017,174.7723,10361.3
11-29-2017,175.919,10370.25
11-28-2017,176.4257,10399.55
11-27-2017,175.9387,10389.7
